language,lag,grievance,p_value,significant
zh,5,CORRUPTION,0.5516,0
zh,5,ECONOMIC,0.0629,0
zh,6,CORRUPTION,0.6915,0
zh,6,ECONOMIC,0.1317,0
zh,7,CORRUPTION,0.1607,0
zh,7,ECONOMIC,0.0466,1
zh,8,CORRUPTION,0.7684,0
zh,8,ECONOMIC,0.1298,0
zh,9,CORRUPTION,0.7712,0
zh,9,ECONOMIC,0.1787,0
zh,14,CORRUPTION,0.8278,0
zh,14,ECONOMIC,0.4463,0
zh,15,CORRUPTION,0.1772,0
zh,15,ECONOMIC,0.4091,0
zh,16,CORRUPTION,0.2352,0
zh,16,ECONOMIC,0.466,0
