,Topic,Words,Frequency,Timestamp
83,22,"sát, tình, cảnh, biểu, floyd",71,2016-01-18 22:22:30
84,23,"bay, máy, thăng, quân, nạn",68,2016-01-18 22:22:30
85,24,"trung, quốc, tăng, kinh, tế",68,2016-01-18 22:22:30
86,25,"thờ, nhà, trúc, chuông, thánh",62,2016-01-18 22:22:30
87,26,"iran, mỹ, chiến, iraq, quân",64,2016-01-18 22:22:30
88,27,"thẻ, hàng, ngân, khách, toán",64,2016-01-18 22:22:30
89,28,"tuyển, điểm, thí, sinh, xét",61,2016-01-18 22:22:30
90,29,"macron, pháp, le, pen, cử",61,2016-01-18 22:22:30
91,30,"xe, vinfast, chiếc, mẫu, tô",60,2016-01-18 22:22:30
92,31,"bạo, học, lực, trẻ, em",53,2016-01-18 22:22:30
93,32,"asean, apec, biển, các, nghị",57,2016-01-18 22:22:30
94,33,"thờ, paris, đức, cháy, nhà",56,2016-01-18 22:22:30
95,34,"nợ, vay, ngân, tỷ, lãi",54,2016-01-18 22:22:30
96,35,"tình, biểu, người, cảnh, sát",55,2016-01-18 22:22:30
97,36,"vaccine, tiêm, liều, covid, 19",52,2016-01-18 22:22:30
98,37,"đường, án, tư, tuyến, khu",50,2016-01-18 22:22:30
99,38,"nông, trồng, sản, cây, huyện",51,2016-01-18 22:22:30
100,39,"triển, xã, kinh, hội, bhxh",50,2016-01-18 22:22:30
101,40,"hàn, tăng, quý, giảm, kinh",48,2016-01-18 22:22:30
102,41,"israel, palestine, gaza, jerusalem, hamas",49,2016-01-18 22:22:30
103,42,"nga, mỹ, thiệp, can, putin",47,2016-01-18 22:22:30
104,43,"brexit, anh, eu, thủ, johnson",46,2016-01-18 22:22:30
105,44,"chồng, vợ, tôi, con, mẹ",41,2016-01-18 22:22:30
106,45,"lương, tiền, sách, cải, ngân",43,2016-01-18 22:22:30
107,46,"fed, khoán, giảm, suất, thị",44,2016-01-18 22:22:30
108,47,"án, tỉnh, ubnd, đất, tra",40,2016-01-18 22:22:30
109,48,"samsung, smartphone, realme, iphone, apple",42,2016-01-18 22:22:30
110,49,"học, sinh, trường, giáo, chương",40,2016-01-18 22:22:30
111,50,"taliban, afghanistan, kabul, mỹ, quân",41,2016-01-18 22:22:30
112,51,"facebook, google, dùng, cáo, instagram",40,2016-01-18 22:22:30
113,52,"nhĩ, thổ, kỳ, syria, kurd",38,2016-01-18 22:22:30
114,53,"khúc, nhạc, ca, hát, điệu",35,2016-01-18 22:22:30
115,54,"phim, hoan, diễn, lhp, chiếu",35,2016-01-18 22:22:30
116,55,"súng, thờ, vụ, người, giáo",36,2016-01-18 22:22:30
117,56,"philippines, duterte, vfa, mỹ, manila",35,2016-01-18 22:22:30
