date_publish,narrative_protest,narrative_corruption,narrative_economic
2016-08-17,1.3333333333333333,1.3333333333333333,1.0
2016-08-18,1.3333333333333333,1.3333333333333333,1.3333333333333333
2016-08-19,1.3333333333333333,1.3333333333333333,1.3333333333333333
2016-08-20,0.3333333333333333,0.0,0.6666666666666666
2016-08-21,0.3333333333333333,0.0,0.3333333333333333
2016-08-22,0.6666666666666666,0.3333333333333333,1.0
2016-08-23,0.6666666666666666,0.3333333333333333,1.0
2016-08-24,0.6666666666666666,0.3333333333333333,1.0
2016-08-25,0.6666666666666666,0.0,0.0
2016-08-26,2.6666666666666665,0.0,0.6666666666666666
2016-08-27,2.6666666666666665,0.0,1.0
2016-08-28,2.0,0.0,1.0
2016-08-29,0.0,0.0,0.6666666666666666
2016-08-30,0.3333333333333333,0.0,0.3333333333333333
2016-08-31,0.6666666666666666,0.3333333333333333,2.3333333333333335
2016-09-01,56.666666666666664,15.0,47.0
2016-09-02,163.0,39.333333333333336,129.33333333333334
2016-09-03,232.33333333333334,50.333333333333336,167.0
2016-09-04,253.66666666666666,47.333333333333336,156.66666666666666
2016-09-05,259.3333333333333,45.0,141.66666666666666
2016-09-06,277.6666666666667,61.666666666666664,183.33333333333334
2016-09-07,299.6666666666667,77.0,222.66666666666666
2016-09-08,283.6666666666667,88.33333333333333,244.33333333333334
2016-09-09,309.3333333333333,91.0,257.3333333333333
2016-09-10,290.0,77.0,217.0
2016-09-11,262.0,57.0,158.33333333333334
2016-09-12,252.33333333333334,52.0,141.66666666666666
2016-09-13,295.6666666666667,75.33333333333333,191.0
2016-09-14,335.0,98.33333333333333,247.66666666666666
2016-09-15,344.3333333333333,106.0,267.3333333333333
2016-09-16,350.3333333333333,103.66666666666667,290.6666666666667
2016-09-17,345.6666666666667,83.66666666666667,254.33333333333334
2016-09-18,315.6666666666667,65.66666666666667,205.0
2016-09-19,333.0,68.33333333333333,213.66666666666666
2016-09-20,391.0,90.66666666666667,279.6666666666667
2016-09-21,469.3333333333333,116.33333333333333,368.3333333333333
2016-09-22,348.3333333333333,94.0,279.0
2016-09-23,199.33333333333334,56.666666666666664,172.33333333333334
2016-09-24,44.666666666666664,16.0,38.0
2016-09-25,26.0,2.6666666666666665,16.333333333333332
2016-09-26,44.666666666666664,9.666666666666666,26.0
2016-09-27,95.0,24.666666666666668,80.0
2016-09-28,152.0,40.333333333333336,140.33333333333334
2016-09-29,189.0,52.333333333333336,185.66666666666666
2016-09-30,149.0,43.666666666666664,145.0
2016-10-01,85.0,27.0,80.66666666666667
2016-10-02,17.333333333333332,6.666666666666667,15.666666666666666
2016-10-03,0.0,0.0,0.0
2016-10-04,0.0,0.0,0.0
2016-10-05,0.0,0.0,0.0
2016-10-06,0.0,0.0,0.0
2016-10-07,0.0,0.0,0.0
2016-10-08,0.0,0.0,0.0
2016-10-09,0.6666666666666666,2.0,0.3333333333333333
2016-10-10,0.6666666666666666,2.0,0.3333333333333333
2016-10-11,0.6666666666666666,2.0,0.3333333333333333
2016-10-12,0.0,0.0,0.0
2016-10-13,0.0,0.0,0.0
2016-10-14,0.0,0.0,0.0
2016-10-15,0.0,0.0,0.0
