date_publish,narrative_protest,narrative_corruption,narrative_economic
2018-01-07,21.857142857142858,4.571428571428571,42.42857142857143
2018-01-08,25.142857142857142,5.0,49.857142857142854
2018-01-09,25.142857142857142,4.714285714285714,51.142857142857146
2018-01-10,25.285714285714285,4.428571428571429,53.285714285714285
2018-01-11,24.571428571428573,4.142857142857143,55.857142857142854
2018-01-12,22.285714285714285,3.5714285714285716,54.857142857142854
2018-01-13,20.0,4.0,54.714285714285715
2018-01-14,18.0,4.714285714285714,55.714285714285715
2018-01-15,15.428571428571429,5.0,55.714285714285715
2018-01-16,15.428571428571429,5.285714285714286,55.285714285714285
2018-01-17,14.571428571428571,5.857142857142857,53.285714285714285
2018-01-18,13.571428571428571,6.428571428571429,49.285714285714285
2018-01-19,12.857142857142858,6.142857142857143,45.857142857142854
2018-01-20,13.285714285714286,5.857142857142857,46.57142857142857
2018-01-21,13.285714285714286,4.857142857142857,46.285714285714285
2018-01-22,12.857142857142858,4.714285714285714,47.0
2018-01-23,12.285714285714286,4.714285714285714,49.142857142857146
2018-01-24,11.714285714285714,4.571428571428571,50.0
2018-01-25,12.285714285714286,3.857142857142857,52.42857142857143
2018-01-26,13.0,4.285714285714286,51.285714285714285
2018-01-27,13.142857142857142,4.142857142857143,51.285714285714285
2018-01-28,12.714285714285714,4.714285714285714,51.142857142857146
2018-01-29,13.142857142857142,4.285714285714286,48.857142857142854
2018-01-30,11.857142857142858,4.285714285714286,46.57142857142857
2018-01-31,11.142857142857142,4.0,41.285714285714285
2018-02-01,10.428571428571429,4.142857142857143,39.142857142857146
2018-02-02,9.142857142857142,4.857142857142857,40.857142857142854
2018-02-03,9.142857142857142,5.428571428571429,40.42857142857143
2018-02-04,8.857142857142858,5.142857142857143,40.142857142857146
2018-02-05,8.142857142857142,5.857142857142857,41.285714285714285
2018-02-06,8.428571428571429,6.428571428571429,42.0
2018-02-07,9.0,7.142857142857143,45.142857142857146
2018-02-08,8.142857142857142,7.0,43.857142857142854
2018-02-09,8.0,5.857142857142857,43.857142857142854
2018-02-10,7.428571428571429,5.142857142857143,42.57142857142857
2018-02-11,7.142857142857143,5.0,42.0
2018-02-12,7.428571428571429,4.428571428571429,39.857142857142854
2018-02-13,7.571428571428571,4.0,39.0
2018-02-14,7.0,3.857142857142857,38.857142857142854
2018-02-15,7.428571428571429,3.857142857142857,34.142857142857146
2018-02-16,6.857142857142857,3.857142857142857,27.428571428571427
2018-02-17,7.428571428571429,4.0,27.285714285714285
2018-02-18,8.571428571428571,3.857142857142857,26.428571428571427
2018-02-19,8.142857142857142,3.5714285714285716,21.714285714285715
2018-02-20,7.0,2.7142857142857144,17.285714285714285
2018-02-21,7.0,1.8571428571428572,15.0
2018-02-22,7.428571428571429,2.142857142857143,18.571428571428573
2018-02-23,7.857142857142857,2.0,24.285714285714285
2018-02-24,8.142857142857142,2.4285714285714284,26.0
2018-02-25,7.571428571428571,2.4285714285714284,26.714285714285715
2018-02-26,7.285714285714286,2.5714285714285716,33.0
2018-02-27,9.0,2.7142857142857144,34.57142857142857
2018-02-28,8.142857142857142,2.5714285714285716,32.714285714285715
2018-03-01,8.714285714285714,2.857142857142857,36.57142857142857
2018-03-02,11.428571428571429,3.142857142857143,37.142857142857146
2018-03-03,11.714285714285714,2.7142857142857144,36.285714285714285
2018-03-04,12.285714285714286,3.2857142857142856,36.714285714285715
2018-03-05,15.285714285714286,4.428571428571429,37.857142857142854
2018-03-06,15.142857142857142,5.285714285714286,42.142857142857146
2018-03-07,17.857142857142858,6.285714285714286,49.857142857142854
2018-03-08,19.285714285714285,6.428571428571429,46.857142857142854
2018-03-09,18.0,6.857142857142857,47.714285714285715
2018-03-10,18.857142857142858,7.0,47.714285714285715
2018-03-11,18.714285714285715,6.714285714285714,47.714285714285715
2018-03-12,17.857142857142858,6.714285714285714,45.857142857142854
2018-03-13,18.142857142857142,7.857142857142857,43.57142857142857
2018-03-14,18.571428571428573,9.0,40.142857142857146
2018-03-15,20.0,9.0,44.42857142857143
2018-03-16,20.857142857142858,9.857142857142858,47.714285714285715
2018-03-17,22.285714285714285,11.571428571428571,50.857142857142854
2018-03-18,22.714285714285715,12.571428571428571,54.0
